Date,Symbol,Adj Close,Close,High,Low,Open,Volume,ema15,ema50,macd,macd_signal,bb_bbm,bb_bbh,bb_bbl,rsi,stoch_k,stoch_d,atr_14,obv,vwap,roc_10,Target,Clopen,HighLow,log_price,Log5,Log15,Log30
2023-01-20,EQIX,695.2117309570312,720.0599975585938,720.780029296875,693.1799926757812,701.7000122070312,355900.0,697.4973647308399,669.0451959144738,14.365260466080258,11.647921054037312,683.2805053710938,735.0749627563284,631.4860479858592,62.62117680279629,91.64329244076755,76.8946361018488,18.45728908204219,128598900.0,691.7073110903174,8.997608743414158,0,1.0261650064588363,1.0398165511306139,6.579334538480846,-0.007306008985771939,0.09846213215344335,0.04718949980310061
2023-01-23,EQIX,691.600830078125,716.3200073242188,724.2000122070312,711.5999755859375,716.52001953125,290100.0,699.8501950550123,670.899110087405,14.507526749326416,12.219842193095133,685.7990051269531,738.8607332457209,632.7372770081854,60.93431296028412,86.46055522717927,82.55839997532239,18.03891390626016,128308800.0,694.9003249541073,6.288394327282436,1,0.999720856079971,1.0177066287990226,6.574127004717441,-0.007745788289397204,0.07378373515070535,0.04453300644306868
2023-01-24,EQIX,694.7869873046875,719.6199951171875,730.6799926757812,714.5700073242188,716.2000122070312,248600.0,702.3214200627841,672.8097330297494,14.716907886359195,12.719255331747945,689.0260040283204,742.0725263544017,635.979481702239,61.909311960944486,86.18709061208186,88.09697942667623,17.901133295210325,128557400.0,698.5006960645388,5.6462539622092045,1,1.0047751785141936,1.0225450063484864,6.578723288123343,0.002253719075119065,0.09404220728422796,0.051730709308726475
2023-01-25,EQIX,694.9317016601562,719.77001953125,721.97998046875,706.2100219726562,711.2000122070312,378800.0,704.5024949963423,674.6513128925534,14.725206646280299,13.120445594654417,692.1305053710937,744.741399954331,639.5196107878564,61.95579895463455,86.37445716677071,86.34070100201062,17.748906523844855,128936200.0,701.4963224159867,3.5416808246449447,1,1.0120500663345378,1.022330408809611,6.578931743667815,0.024030157945896136,0.08289607684139,0.06303458745070856
2023-01-26,EQIX,704.0266723632812,729.1900024414062,731.0900268554688,720.3400268554688,720.9000244140625,359200.0,707.5884334269753,676.7900850317241,15.315351529122381,13.55942678154801,695.8610046386718,747.8697842849563,643.8522249923874,64.85605298095281,97.63913589188411,90.06689455691223,17.289699438157278,129295400.0,705.1082079594632,1.967502995341793,1,1.0114994836268478,1.0149235077869092,6.591934332399778,0.036918879006822,0.06962093442522477,0.0692975717375992
2023-01-27,EQIX,705.0211791992188,730.219970703125,734.5800170898438,725.5999755859375,725.5999755859375,268400.0,710.417375586494,678.8853746658966,15.685344543348037,13.984610333908016,699.745004272461,749.7983437029771,649.6916648419448,65.1687152495622,93.1488916041194,92.3874948875914,16.696152442853634,129563800.0,709.3513708901777,0.6727801675046161,0,1.0063671379170827,1.0123760223346958,6.59334581848206,0.01401128000121421,0.10016703786780745,0.03230099460137659
2023-01-30,EQIX,699.8460693359375,724.8599853515625,737.7100219726562,722.9500122070312,726.0399780273438,234400.0,712.2227018071276,680.6883005751384,15.368897565840712,14.261467780294556,702.7195037841797,751.2969718408963,654.142035727463,62.073739215175095,78.67213838822614,89.82005529474321,16.557856537337305,129329400.0,713.9009690746008,0.4114159557354986,1,0.9983747552318162,1.020416362841693,6.585978512550883,0.011851507833442021,0.0728374227500872,0.03001015384685335
2023-01-31,EQIX,712.6582641601562,738.1300048828125,742.6699829101562,720.5800170898438,722.8499755859375,542700.0,715.4611146915881,682.9409164303414,16.00440194702901,14.610054613641447,706.8745025634765,752.5542340164274,661.1947711105257,66.33631774167166,90.82647216973919,87.54916738736158,16.95300720040696,129872100.0,718.9810061699661,2.803621849973886,0,1.0211385900435137,1.0306558123961385,6.604119967464202,0.025396679340858874,0.08032277973187885,0.06545931646843695
2023-02-01,EQIX,712.6582641601562,738.1300048828125,743.0,720.010009765625,733.0,414000.0,718.2947259654911,685.1051944088697,16.319917893008096,14.952027269514778,710.6555023193359,753.4479510667862,667.8630535718856,66.33631774167166,90.22482055152153,86.57447703649562,17.38422027426182,130286100.0,720.8744602881976,5.044972473463892,1,1.0069986424049284,1.0319300980855233,6.604119967464202,0.025188223796386744,0.05999228272808299,0.10007130336293724
2023-02-02,EQIX,726.9957275390625,752.97998046875,762.510009765625,742.780029296875,744.5,442500.0,722.6303827783985,687.7669507249434,17.565748462747365,15.474771508161297,714.2970001220704,758.4592815225158,670.134718721625,70.62163975729652,86.25410796520478,89.10180022882184,17.883919174872585,130728600.0,723.9045255651918,7.1461053567737425,0,1.0113901685275353,1.0265623464424947,6.6240386410835885,0.03210430868381042,0.051588287131953514,0.13454499393096153
2023-02-03,EQIX,707.7052612304688,733.0,744.1699829101562,724.5800170898438,741.3200073242188,425800.0,723.9265849310987,689.5407957945534,16.74780247899332,15.729377702327703,717.9160003662109,755.2206209252209,680.6113798072009,59.62405420367974,57.43545003402579,77.97145951691738,18.63506518944642,130302800.0,724.8707590152387,1.7970728113324026,0,0.9887767667916455,1.0270363042842285,6.597145701886651,0.0037998834045911423,0.010505154420033413,0.11687106763409094
2023-02-06,EQIX,698.8516845703125,723.8300170898438,728.02001953125,717.0499877929688,721.5499877929688,251100.0,723.9145139509418,690.8854711394669,15.184594852404416,15.620421132343047,720.4105010986328,751.8264527713184,688.9945494259473,55.36281543081666,44.20888051180427,62.63281283701161,18.443275690702478,130051700.0,725.2681787216912,1.0484154691809189,1,1.0031599048374307,1.0152988381912484,6.584556581794789,-0.001421930756094092,0.002683788787950725,0.08334197081749828
2023-02-07,EQIX,700.4447021484375,725.47998046875,729.27001953125,715.7000122070312,719.8300170898438,346600.0,724.1101972656678,692.2421185641447,13.9184367267286,15.280024251220159,722.6265014648437,748.4012667264325,696.851736203255,55.97253275056654,46.588749215381945,49.411026587070666,18.095185093096497,130398300.0,726.8510612361896,0.8143166381317993,1,1.007849024415164,1.0189604682028333,6.586833477827391,-0.017286489636810565,0.010363908779167375,0.10207608615754715
