Date,Symbol,Adj Close,Close,High,Low,Open,Volume,ema15,ema50,macd,macd_signal,bb_bbm,bb_bbh,bb_bbl,rsi,stoch_k,stoch_d,atr_14,obv,vwap,roc_10,Target,Clopen,HighLow,log_price,Log5,Log15,Log30
2021-09-15,FSLR,104.6999969482422,104.6999969482422,105.16000366210938,102.16000366210938,104.94000244140624,1204100.0,98.68360936026228,92.96599447194544,3.1269141096907163,2.1853774783918682,96.5180004119873,104.58848136007761,88.447519463897,72.65153738170494,82.58807146822488,88.07322452371041,3.283817955701324,185370500.0,99.12067028477999,11.382975476853407,0,0.9977129265525028,1.0293656998087275,4.651099088728852,0.09270609110178807,0.10281675202621354,0.12562171130898125
2021-09-16,FSLR,103.29000091552734,103.29000091552734,105.0999984741211,102.51000213623048,104.41999816894533,1108200.0,99.25940830467042,93.37085746973297,3.1947561550169468,2.387253213716884,97.00000038146973,105.4693735278725,88.53062723506696,67.55401947814701,71.85292857613048,80.04854977489329,3.2342592687148444,184262300.0,99.54438787039933,9.812889215932456,1,0.9891783444432769,1.0252657914731935,4.637540574882201,0.04353245977232678,0.09818975926582674,0.11347200025987192
2021-09-17,FSLR,104.0199966430664,104.0199966430664,104.43000030517578,101.8000030517578,102.94000244140624,4205700.0,99.85448184696992,93.788470770648,3.26973455449199,2.563749481871905,97.55150032043457,106.33521924959366,88.76778139127548,68.7755270906315,77.01555770660609,77.15218591698714,3.19109769619364,188468000.0,100.30637281861686,9.644770350566914,0,1.0104914918986416,1.0258349427757956,4.644583156072924,0.04533040701043056,0.10469843352582142,0.1269335376363543
2021-09-20,FSLR,95.69000244140624,95.69000244140624,100.58000183105467,93.58999633789062,100.54000091552734,4157200.0,99.33392192127445,93.86304064008951,2.626715420563741,2.5763426696102725,97.60900039672852,106.32792821664688,88.89007257681016,47.02146051418683,18.10470508126329,55.65773045466662,3.7081621682637933,184310800.0,100.00543473612449,1.7329416597072267,0,0.9517605089520933,1.0746875282260706,4.561113825304874,-0.10392774047416609,0.013149087236161705,0.02690271187639759
2021-09-21,FSLR,95.01000213623048,95.01000213623048,96.72000122070312,91.88999938964844,96.6500015258789,2292500.0,98.79343194814396,93.90801952229111,2.0387463833630477,2.4688234123608277,97.55750045776367,106.32492310477376,88.79007781075357,45.749305245472115,20.286107306610035,38.468790031493135,3.788293572748857,182018300.0,99.77576269215275,0.5609639717037481,1,0.9830315637479913,1.0525628671578682,4.553982171702928,-0.1015008629829186,-0.00713165360194612,0.0031625901315566196
2021-09-22,FSLR,95.70999908447266,95.70999908447266,96.95999908447266,94.5500030517578,95.51000213623048,1346400.0,98.40800284018505,93.97868538747471,1.6106935166597367,2.2971974332206098,97.61950035095215,106.31596203840736,88.92303866349694,47.32904985338361,24.837453686640174,21.076088691504495,3.689843748460714,183364700.0,99.75590881324287,0.29340750120660836,0,1.0020939895693532,1.0254891163926838,4.561322776642176,-0.08977631208667614,0.018027994372172174,-0.00041785141857975105
2021-09-23,FSLR,93.4499969482422,93.4499969482422,96.80999755859376,93.2300033569336,95.8000030517578,1963100.0,97.78825210369219,93.95795250750481,1.0766839091825204,2.053094728412992,97.61050033569336,106.32381466562963,88.89718600575709,42.97771700141831,10.143028850327516,18.422196614525905,3.6819973522606753,181401600.0,99.54444840452436,-5.501064288585365,0,0.9754696656716602,1.0383995931862628,4.537426501244987,-0.10011407363721414,-0.0065063493160755215,-0.025983788677641506
2021-09-24,FSLR,91.1500015258789,91.1500015258789,93.23999786376952,90.18000030517578,92.41000366210938,2186100.0,96.95847078146552,93.84783678273517,0.4625549931735833,1.7349867813651103,97.48400039672852,106.49042480102925,88.47757599242779,39.043600756866645,5.675842179980536,13.552108238982738,3.6525687301753713,179215500.0,99.12233984574547,-8.30902507991639,1,0.9863650894243271,1.033932108541123,4.512506517864978,-0.13207663820794657,-0.04000104449081476,-0.06158573773696663
2021-09-27,FSLR,95.55999755859376,95.55999755859376,95.70999908447266,90.27999877929688,91.08000183105467,1955600.0,96.78366162860655,93.91498034257276,0.3279231328911436,1.453574051670317,97.5400001525879,106.48373032145967,88.59626998371611,48.733765801004964,31.480388567959295,15.76641986608911,3.7795281283896864,181171100.0,98.93117990452023,-9.993407547646528,0,1.0491874795506602,1.0601462159791366,4.559754296909197,-0.001359528395677323,0.015821446348134316,-0.010824428513427797
2021-09-28,FSLR,95.25,95.25,95.80999755859376,93.37999725341795,93.6999969482422,1638700.0,96.59195392503074,93.96733405462874,0.19397616494282488,1.2016544743248188,97.51800003051758,106.48196651559537,88.5540335454398,48.15426850035507,29.666476192176855,22.27423564670556,3.6831332838744095,179532400.0,98.88014730828286,-9.423738414798182,0,1.016542188924659,1.0260227069677588,4.55650501400681,0.0025228423038825554,0.008116806587077363,-0.01645186852662306
2021-09-29,FSLR,94.06999969482422,94.06999969482422,96.6500015258789,93.2300033569336,95.8499984741211,1790400.0,96.27670964625491,93.97136015816582,-0.007309673776489944,0.959861644704557,97.5215000152588,106.48002235803771,88.56297767247987,45.91608924459703,22.761850340621958,27.969571700252697,3.6643379185223313,177742000.0,98.72703695268626,-10.152815246664101,1,0.9814293290805063,1.0366834500246853,4.544039182739725,-0.01728359390245071,-0.014353814887338778,0.005970777447428688
2021-09-30,FSLR,95.45999908447266,95.45999908447266,96.37000274658205,93.4499969482422,94.0,1421200.0,96.17462082603214,94.0297381552759,-0.054045810649853365,0.757080153633675,97.59150009155273,106.46218664273754,88.72081354036793,48.92746313183536,30.895259863751217,27.774528798850003,3.6111713385092967,179163200.0,98.37841198171387,-7.580600020962554,1,1.0155319051539644,1.0312467190336785,4.558707301987059,0.021280800742072614,-0.035300813122814745,0.019142856803540553
2021-10-01,FSLR,96.56999969482422,96.56999969482422,97.5,94.94000244140624,96.2699966430664,1152400.0,96.22404318463114,94.12935625486602,-0.0014994781932387014,0.6053642272682923,97.67649993896484,106.4735200620234,88.87947981590628,51.26126578937665,37.39029115811466,30.34913378749594,3.5360874970867586,180315600.0,97.58473558016334,-7.16208151189051,0,1.0031162673960623,1.0269643721588664,4.5702681308186754,0.05776161295369775,-0.02898461824381826,0.03777619330126036
2021-10-04,FSLR,95.01000213623048,95.01000213623048,96.29000091552734,93.13999938964844,95.81999969482422,1376000.0,96.07228805358106,94.16389138746855,-0.08475786082082948,0.46733980965046795,97.72400016784668,106.4523884595918,88.99561187610156,47.94531369002421,32.242995652061076,33.50951555797565,3.528509840521689,178939600.0,96.87545241652326,-0.7106283705992554,1,0.991546675420857,1.0338200724341962,4.553982171702928,-0.005772125206268797,-0.1110593940761122,0.004959136653816643
2021-10-05,FSLR,95.5999984741211,95.5999984741211,96.66999816894533,95.0500030517578,95.61000061035156,814400.0,96.01325185614857,94.22020931243532,-0.1019576509016531,0.3534803175400438,97.77999992370606,106.4385097180064,89.12149012940571,49.28158509551476,36.327069933738805,35.32011891463818,3.3950445685354858,179754000.0,96.52941121462102,0.6209833960898581,0,0.9998953860875786,1.0170436093127255,4.560172804096279,0.0036677900894686033,-0.09531023058956745,-0.004591976789544816
2021-10-06,FSLR,95.18000030517578,95.18000030517578,95.63999938964844,92.76000213623048,94.44000244140624,1517200.0,95.90909541227697,94.25784817489573,-0.14777548679649044,0.25322915667273693,97.76749992370605,106.44025420477777,89.09474564263434,48.330458080222996,35.08771929824562,34.5525949613485,3.358255474598519,178236800.0,96.13716297136791,-0.5537548682129895,1,1.007835640032185,1.0310478351346768,4.555769838899266,0.011730656159540942,-0.0953292498295859,0.007487502196627638
